pe_ref_in_enseigne,pe_id,p_id_cat
1185,413601,647E
8099,413602,4040F
3570,413603,202D
6926,413605,299D
3615,413606,445E
30621,413607,300D
2295,413608,3856F
23150,413609,218D
24664,413610,1480E
24713,413611,1566E
28966,413612,219D
7381,413613,3389F
1715,413614,71E
6805,413615,215E
1997,413616,220D
406,413617,3398F
356,413618,168D
9110,413619,1505E
2145,413620,557E
3564,413621,
475,413622,1429E
308,413623,558D
25406,413624,187D
18571,413625,
30925,413626,3392F
18388,413627,1350E
2094,413628,1481E
434,413629,154D
3925,413630,278D
9407,413631,4087F
4878,413632,4121F
670,413633,445E
4991,413634,2040F
31690,413635,300D
7857,413636,3369F
31230,413637,431D
25758,413638,3967F
1712,413639,71E
4889,413640,4120F
6370,413641,3854F
25069,413642,1485E
518,413643,3933F
2584,413644,1928E
30996,413645,553D
3281,413646,85D
2201,413647,213D
524,413648,3933F
6835,413649,4365F
903,413651,4080F
2592,413652,206D
26840,413653,30D
5087,413654,215E
18363,413655,4127F
18988,413656,4135F
9272,413657,2011E
9841,413658,4022F
8836,413659,673F
19259,413660,1557E
5477,413661,3409F
7146,413662,4627F
21511,413663,933E
26980,413664,1898E
14663,413665,1800E
9004,413666,4127F
16108,413667,4130F
7001,413668,1932E
270,413669,552D
23999,413670,1100E
19305,413671,1535E
15009,413672,227D
13321,413673,
18590,413674,1566E
8750,413675,1941E
25733,413676,2055E
30362,413677,1383E
429,413678,154D
2254,413679,2091E
7744,413681,272D
15451,413682,304D
1326,413683,30D
5426,413684,477D
777,413685,1481E
1720,413686,3369F
2732,413687,1566E
24724,413688,933E
5775,413690,4636F
15182,413691,2146E
3578,413692,209E
5437,413693,4135F
5452,413694,1268F
1520,413695,4128F
24651,413696,1598E
11178,413697,4121F
3076,413698,3131F
18381,413699,1367E
20087,413700,224D
5867,413701,4085F
2510,413702,190D
2760,413703,1753F
24729,413704,55D
28090,413705,3132F
7913,413706,3857F
3909,413707,240D
306,413708,2011E
11165,413709,4149F
199,413710,3502F
774,413711,1508E
3746,413712,3286F
30622,413713,300D
15700,413714,2003E
5339,413715,185D
2549,413716,55D
24311,413717,361E
7424,413718,3286F
25656,413719,496D
3377,413720,
2993,413721,4087F
23965,413722,300D
3822,413723,
4898,413724,4120F
20474,413725,348D
3735,413726,360E
5047,413727,3D
3311,413728,449E
1251,413729,2030E
3951,413730,211E
17813,413731,30D
2203,413732,215D
23064,413733,510D
4417,413734,2043E
5250,413735,2030E
24399,413736,124D
26655,413737,1541E
27243,413738,611E
4635,413739,185D
5922,413740,85D
12161,413741,1597E
24847,413743,168D
4289,413744,215D
5176,413745,3502F
453,413746,2103E
15152,413747,1840E
18235,413748,291D
31000,413750,4127F
3373,413751,2176E
2098,413752,4090F
1579,413753,1919E
2738,413754,206D
12365,413755,123D
960,413756,661E
24580,413757,462D
9131,413758,2002E
1940,413759,578D
30637,413760,2003E
7996,413761,237D
3220,413762,1546E
26724,413763,215E
1163,413764,843E
1133,413765,648E
173,413766,3373F
25745,413767,298D
1374,413768,106F
5436,413769,4128F
5153,413770,
2684,413771,1480E
17417,413772,
21232,413773,432D
19242,413774,70E
7972,413775,253D
2620,413776,155D
3185,413777,13D
24481,413778,1483E
7893,413779,1556E
2267,413780,2003E
12789,413781,241D
18629,413782,4132F
3322,413783,1565E
24818,413784,1103E
25336,413785,3424F
14441,413786,205D
14695,413787,1597E
8430,413788,4175F
21914,413789,1898E
25335,413790,3409F
3913,413791,240D
11897,413792,1832E
297,413793,557D
26835,413794,236F
25891,413795,139E
13832,413796,3856F
5643,413797,2036E
26074,413798,205D
5027,413799,247D
2188,413800,2646F
24643,413801,2059E
25275,413802,675F
8523,413804,120D
1442,413805,569D
654,413806,1426E
8520,413807,138E
14445,413808,450E
2249,413809,2091E
24958,413810,4068F
15658,413811,3409F
729,413812,4045F
9271,413813,440E
2239,413814,530F
7983,413815,805E
329,413816,2028E
11180,413817,4130F
3647,413818,359E
1038,413819,288D
6085,413820,347D
21629,413821,510D
7422,413822,68E
2544,413823,545D
16270,413824,137D
24195,413825,614E
1708,413826,3442F
3117,413827,4130F
15798,413828,281D
1522,413829,4128F
15452,413830,304D
1998,413831,220D
26617,413832,695E
8382,413833,4349F
5488,413834,226D
6797,413835,1368E
15802,413836,435E
4409,413837,295D
20207,413838,4082F
7747,413839,1549E
25651,413840,4068F
24404,413841,3857F
24484,413842,1502E
21224,413843,3855F
5173,413844,661E
2088,413845,213D
25446,413846,4107F
21487,413847,3397F
15597,413849,1908E
2336,413850,520D
3228,413852,1850E
6144,413853,558D
24330,413854,3423F
2123,413855,648E
5050,413856,223D
7000,413857,1932E
24314,413858,1869E
260,413859,2172E
3315,413860,202D
8966,413861,1479E
623,413862,348D
25962,413863,1103E
2489,413864,1597E
19101,413865,555D
19141,413866,1800E
26854,413867,1322E
494,413868,523F
3179,413869,1891E
6414,413870,3855F
9797,413871,1866E
7695,413872,584D
18000,413873,4118F
18390,413874,1367E
298,413875,557D
353,413876,775F
6195,413877,276D
2562,413878,510D
3767,413879,1566E
26281,413880,1369E
3125,413881,4139F
1922,413882,2015E
30687,413883,1566E
8519,413884,100D
4306,413885,4107F
226,413886,1383E
21510,413887,934E
2739,413888,206D
21819,413889,1876E
24114,413890,1471E
26843,413891,138E
24865,413892,445E
2021,413893,224D
14788,413895,1307E
21891,413896,1508E
5593,413897,2038E
19233,413898,136D
2938,413899,560D
3946,413902,4349F
2967,413903,1871E
14418,413904,215D
25265,413905,1888E
7012,413906,4135F
18384,413907,1368E
3774,413908,237D
22887,413909,
25301,413910,202D
5674,413911,
22582,413912,305D
16055,413913,4120F
31125,413914,4080F
2076,413915,227D
20506,413916,357E
323,413917,3885F
3052,413918,1566E
22466,413919,1327E
6090,413920,510F
14443,413921,227D
5478,413922,3409F
677,413923,437E
26828,413924,1888E
3071,413926,1320E
2313,413927,2059E
25764,413928,87D
1339,413929,14D
2320,413930,2065E
