pe_ref_in_enseigne,pe_id,p_id_cat
33141,603402,1303E
33077,603421,3996F
33076,603422,3996F
33075,603423,3996F
33074,603424,3996F
33127,603433,553D
33104,603434,1868E
33073,603448,3999F
33072,603449,3964F
33103,603450,
33091,603451,3964F
33129,603482,281D
29346,603488,4020F
29347,603489,4020F
33119,603492,3964F
33115,603493,3998F
33126,603494,3999F
33125,603495,3999F
33124,603496,1868E
33122,603497,4004F
33121,603498,3964F
33117,603499,328E
33111,603500,3997F
33110,603501,3964F
33108,603502,328E
33095,603503,1868E
32924,603505,3397F
22103,603509,36D
33093,603510,3997F
33094,603531,3964F
33118,603535,3997F
33116,603536,1868E
16686,603563,1868E
11583,603633,301D
33139,603636,777F
33120,603646,3997F
33089,603647,3997F
21853,603654,3997F
30177,603659,284D
33137,603675,360E
33138,603687,360E
33123,603804,3997F
33109,603805,328E
33090,603806,3997F
33149,603807,4075F
33132,603941,281D
33131,603943,281D
33130,603944,281D
33142,603960,1303E
33128,603966,281D
33140,603974,1103E
33148,603982,1484E
33153,603987,301D
33150,604015,270D
22257,604021,237D
16865,604282,55D
33114,604312,
33113,604313,301D
16689,604314,328E
33136,604335,360E
33143,604395,2138E
27111,604401,1026E
32810,604410,304D
32944,604426,55D
30173,604437,
6709,604438,301D
21764,604969,3964F
19484,605363,334D
27359,605479,64E
29408,605492,1899E
14309,605674,4077F
33169,605676,4090F
33180,605677,4082F
33179,605702,4080F
33145,605736,55D
33170,605739,4090F
22160,605902,1103E
4983,605952,729E
25031,606155,403D
12275,606156,402D
12277,606165,402D
21300,606166,4038F
20047,606167,4061F
10728,606168,253D
32015,606169,253D
28754,606170,253D
32481,606171,
70,606172,122D
33144,606190,55D
26814,606223,4038F
33167,606271,4090F
16928,606293,236D
32014,606316,253D
31818,606317,4319F
27707,606329,1292E
24675,606330,669F
32043,606342,253D
11048,606343,253D
32012,606344,253D
19341,606356,288D
21858,606360,3997F
6739,606388,4292F
33017,606549,206D
29199,606550,
32427,606568,151D
33190,606664,4087F
28900,606666,
12155,606670,302D
32735,606671,302D
6956,606674,169D
33192,606675,4087F
33160,606678,4090F
10618,606729,253D
14638,606730,1850E
19217,606750,3502F
14136,606751,272D
33186,606765,4075F
33216,606781,1103E
33219,606783,4252F
33218,606784,301D
33146,606792,55D
33175,606804,4086F
32734,606833,302D
32736,606834,302D
29185,606837,
23004,606844,695E
32976,606913,301D
32305,606923,238D
12773,606924,
33193,606970,302D
21797,606973,1868E
31404,607002,729E
33152,607034,301D
27532,607048,1103E
28609,607057,
3378,607061,
21757,607079,3964F
3313,607116,436E
33187,607118,4075F
29345,607191,4020F
21799,607209,1868E
33194,607233,
22767,607316,237D
33209,607326,301D
33210,607327,301D
28977,607394,
33147,607401,55D
33220,607428,1349E
33189,607697,4075F
32949,607849,2003E
30020,607929,1481E
33157,607967,1433E
27813,607977,438E
25012,608043,4090F
33221,608044,
29963,608269,4107F
32025,608294,4075F
31402,608322,1418E
6946,608522,169D
33299,608591,591D
32356,608761,270D
32355,608762,270D
7653,608860,2117E
31708,608874,300D
20434,608919,2148E
19414,608924,2110E
33273,608932,621F
33301,608933,445E
33293,608944,302D
6955,608970,169D
33276,609014,225D
33297,609041,1523E
20510,609043,288D
33332,609062,3017F
33339,609065,300D
33318,609068,3410F
33316,609069,3410F
33331,609070,3017F
32936,609083,
32840,609154,304D
33317,609155,3410F
31965,609157,115F
32243,609211,227D
30092,609212,289D
20581,609220,2003E
33239,609222,3396F
6975,609225,169D
33342,609227,270D
33287,609235,1535E
33274,609236,1535E
33255,609237,1535E
33292,609319,302D
14384,609329,
33277,609330,1429E
33271,609331,1429E
33266,609332,1429E
33207,609333,3975F
33206,609334,4629F
32665,609335,301D
24137,609336,
33303,609337,241D
33307,609338,1544E
33326,609359,220D
29284,609360,
33333,609361,55D
33313,609362,9F
33320,609363,1412E
33319,609364,1412E
33337,609365,1103E
33321,609366,1840E
33310,609367,9F
33330,609373,2003E
33327,609430,220D
33347,609431,224D
12765,609442,55D
33329,609444,2003E
33253,609590,236D
33252,609591,236D
33272,609592,236D
33270,609593,236D
32946,609609,
26573,609626,2000E
23702,609627,2145E
21677,609769,1417E
19548,609770,1417E
19550,609771,1417E
33267,609772,236D
33268,609773,270D
33340,609774,2045F
29579,609775,2046F
33291,609776,3306F
33352,609825,220D
33264,609838,232D
33312,609839,236D
33311,609840,236D
33269,609841,301D
33314,609845,168D
32337,609846,270D
32310,609847,270D
33038,609851,775F
27297,609870,277D
30339,609872,
33294,609901,302D
25526,609902,450E
33208,609907,301D
33254,609975,236D
28131,609980,122D
29283,609982,
15075,610019,510D
25425,610020,3966F
6106,610021,3966F
21303,610022,3966F
21304,610023,3966F
24446,610028,4285F
33281,610046,3306F
33280,610047,3306F
25050,610178,276D
16257,610186,199E
33154,610195,212D
72,610196,120D
33351,610197,220D
6181,610198,1433E
29032,610199,1432E
25358,610200,359E
10722,610201,199E
10067,610232,120D
20459,610285,276D
25913,610302,361E
20555,610352,1867E
33354,610357,220D
33356,610358,220D
33305,610394,191E
30633,610423,356E
33283,610502,3306F
33304,610503,247D
33309,610512,2172E
33308,610513,1541E
33261,610514,3271F
33256,610515,3271F
33306,610516,
24494,610517,301D
33345,610553,3892F
33346,610554,3892F
32812,610608,
3094,610680,2015E
25082,610681,2112E
17835,610697,4216F
33260,610745,3271F
16121,610901,1900E
696,610902,523E
33362,610904,177D
27840,610905,2034F
22482,611264,445E
32945,611272,55D
32970,611301,2090E
4687,611304,675F
30305,611310,3421F
30013,611315,669F
30017,611320,669F
30015,611321,669F
33295,611322,
8680,611339,
33235,611363,55D
13361,611415,669F
24161,611466,295D
33238,611512,148D
11463,612836,729E
14273,613139,1498E
33262,614194,3353F
3458,614494,129D
33015,614571,205D
33409,614777,583E
29899,614778,4037F
10696,614785,2148E
1917,614786,9F
15648,614787,9F
14654,614788,9F
19166,614789,693E
14678,614790,528F
2237,614791,545F
32354,614793,270D
32981,614794,568D
6723,614804,2173E
33275,614805,1429E
33406,614806,120D
33404,614807,120D
33405,614808,120D
33414,614809,3855F
33401,614810,1874E
33416,614811,2676F
24048,614812,
15301,614813,1547E
33415,614814,2676F
33360,614815,1344E
33361,614816,2104E
13068,614820,169D
33402,614821,1874E
23155,614863,227D
33407,614864,224D
27537,614865,306D
21316,614872,136D
6958,614874,169D
13069,614875,169D
33359,614878,136D
33286,614879,55D
7187,614880,169D
30166,614881,278D
15338,614887,843E
32510,614896,3391F
33338,614897,300D
27687,614917,1554E
30310,614927,4000F
33014,614929,206D
33013,614930,206D
18515,614931,
31758,614945,55D
33085,614947,213D
31895,614951,1483E
32992,614952,120D
32994,614953,136D
32995,614954,120D
32228,614955,
18296,614999,
18294,615000,""
18293,615001,""
17833,615004,4221F
33403,615006,145E
18291,615007,""
14546,615018,334D
2585,615279,4118F
5407,615280,1554E
31059,615281,3502F
5161,615282,1540E
223,615283,26E
14653,615284,9F
232,615285,9F
11259,615286,9F
12592,615287,5E
213,615291,1539E
25478,615293,9F
33284,615294,1429E
30944,615295,1383E
28931,615296,1549E
31170,615297,3272F
4279,615298,3272F
33101,615304,168D
33102,615305,168D
18295,615409,
32914,615584,
21554,615606,300D
21833,615626,3964F
29696,615627,253D
7686,615632,275D
12107,615807,85D
28956,615808,3379F
30035,615809,1103E
24113,615810,1103E
30034,615811,14D
25268,615812,1888E
24112,615813,1103E
14548,615814,334D
30379,615815,530F
25729,615816,97D
31839,615856,291D
31838,615857,
31837,615858,
31816,615859,133D
33258,615860,3271F
18170,615878,3997F
33397,615990,1307E
33413,615992,2547F
33205,615997,4629F
33353,616031,220D
33432,616046,1554E
33431,616047,1554E
29223,616050,4245F
23306,616060,2031E
29608,616070,2104E
10645,616073,1911E
33324,616078,220D
29901,616261,4037F
29915,616262,4037F
29929,616263,4020F
31645,616264,211D
30167,616332,236D
27821,616333,1518E
17281,616334,291D
29177,616543,304D
29176,616544,271D
33417,616597,301D
33451,616598,
25139,616632,291D
24185,616633,291D
33391,616649,295D
33389,616650,4510F
33442,616690,234D
18037,616746,295D
17171,616762,4245F
33396,616776,
33447,616777,4074F
10676,616811,284D
33390,616845,4510F
33470,616935,583E
33469,616936,583E
26239,616937,
20513,616938,4201F
31927,616951,3855F
32515,616952,341D
33496,616953,218D
33493,616954,218D
33491,616955,218D
31926,616957,3855F
17172,616958,271D
33506,616966,4285F
23120,616967,295D
33478,616971,288D
33476,616972,289D
33474,616973,295D
33503,616974,273D
33481,616975,276D
33483,616976,2034F
32514,616982,341D
12681,616996,665E
29156,617002,238D
6951,617005,169D
33498,617023,583E
33495,617024,219D
33467,617026,219D
23291,617039,4285F
28686,617040,4285F
28685,617041,4288F
3133,617042,1521E
34813,617062,154D
33508,617087,238D
17825,617126,843E
28693,617127,4288F
33489,617128,847E
33486,617129,847E
23121,617135,295D
33475,617136,295D
33516,617158,553D
33480,617160,272D
28689,617195,4285F
33380,617204,1295E
33511,617223,693E
33290,617231,55D
26610,617232,
33517,617245,440E
33509,617249,2038E
33445,617254,1481E
33444,617255,1498E
29098,617268,232D
29097,617269,2031E
29096,617270,2031E
33507,617271,232D
21168,617285,847E
28189,617286,1495E
33440,617287,
33237,617288,304D
33393,617326,300D
33422,617327,1874E
15016,617477,
718,617478,4038F
30150,617479,353D
31317,617480,1516E
11561,617481,
7575,617482,155D
16424,617484,3406F
16426,617485,3406F
25272,617486,3406F
23195,617487,3407F
23196,617488,3406F
31042,617490,155D
26127,617491,1428E
14426,617492,220D
25273,617493,3407F
10841,617501,669F
25337,617502,669F
25343,617503,1428E
23289,617514,4499F
28688,617515,4285F
29903,617516,4038F
29912,617517,4037F
29923,617518,4020F
29907,617519,4020F
29180,617683,4245F
29178,617684,304D
29175,617685,304D
25113,617686,155D
29179,617725,304D
32047,617726,251D
27005,617777,220D
33236,617778,289D
22643,617804,4285F
28855,617812,669F
3132,617833,1521E
33435,617836,1908E
33423,617837,3421F
33424,617838,3423F
33288,617843,55D
29988,617847,4038F
6838,618016,347D
663,618017,445E
664,618018,445E
665,618019,445E
14500,618020,445E
3641,618021,1513E
8394,618022,270D
20335,618023,247D
33458,618024,
33443,618029,627E
32422,618031,270D
29705,618032,270D
33590,618036,649E
33499,618061,583E
7826,618069,348D
33441,618123,232D
18321,618124,2003E
6944,618125,169D
29101,618133,236D
29099,618134,232D
33588,618135,2031E
33591,618140,1481E
33452,618150,
33562,618227,4289F
33439,618237,225D
33425,618311,148D
30967,618347,450E
31129,618477,4080F
15380,618478,304D
2913,618485,307D
27249,618486,304D
20332,618494,4073F
33576,618510,4286F
33578,618511,4287F
33577,618512,4287F
33526,618513,4285F
33473,618574,295D
33567,618595,4289F
33563,618622,4288F
33388,618655,449E
10009,618658,1502E
33572,618659,4499F
20088,618664,3975F
20089,618665,3975F
33430,618666,112D
33378,618667,1554E
33377,618668,1554E
32993,618669,123D
13963,618696,169D
33552,618705,4288F
29055,618712,218D
33568,618736,4285F
22750,619067,306D
5405,619068,300D
19218,619069,4351F
5328,619070,120D
8384,619071,122D
27035,619072,611E
28402,619073,611E
6839,619074,187D
3097,619075,555D
32101,619076,356E
19395,619077,360E
3320,619078,171D
23666,619079,2110E
6873,619080,300D
20257,619081,2009E
25911,619082,2018E
25889,619084,1895E
25898,619085,1866E
6065,619086,3892F
6061,619087,1841E
19402,619088,361E
24836,619089,2110E
24837,619090,2110E
15089,619091,3892F
25883,619092,2018E
28594,619093,3E
25809,619207,306D
21769,619298,3964F
10401,619312,1554E
33379,619313,669F
33534,619327,4250F
33548,619328,4250F
33520,619329,304D
33575,619330,4287F
33565,619331,4288F
33550,619332,4288F
23290,619333,4288F
33546,619334,304D
33527,619335,4243F
8404,619363,2110E
20391,619368,306D
8789,619380,306D
33561,619381,4288F
21766,619390,3964F
33427,619393,1554E
33551,619420,4288F
6960,619432,169D
33602,619442,181D
33134,619443,3997F
33437,619445,1908E
24835,619450,2110E
13067,619460,169D
33519,619466,4250F
28630,619476,136D
33555,619493,4288F
32757,619494,2172E
33557,619536,4288F
33547,619537,4249F
33522,619538,4247F
33521,619539,4249F
33556,619545,4288F
28684,619546,293D
33549,619547,4288F
33523,619548,4247F
33233,619660,3441F
33420,619718,227D
33482,619722,2033F
33514,619752,253D
33545,619753,4246F
33542,619767,4246F
33530,619768,4243F
33533,619778,4244F
33621,619791,4245F
2178,619794,2110E
351,619875,4344F
33158,619901,
33159,619904,
31706,620106,
8782,620107,
8447,620108,
5187,620109,
4600,620110,
4349,620111,
27270,620112,
4849,620114,
2865,620115,
4598,620116,
4763,620117,
5740,620118,
16710,620119,
27620,620120,
8779,620121,
16702,620122,
4563,620123,
27292,620124,
4198,620125,
6708,620126,
27281,620127,
8781,620128,
2528,620129,302D
8086,620130,
26471,620131,
16273,620133,
32114,620134,
16269,620135,
5682,620136,
16141,620138,
27285,620139,301D
20632,620140,
27962,620141,
27307,620142,
5934,620143,3371F
6000,620144,
31952,620145,
8439,620146,
27294,620159,
29121,620160,
31831,620161,
5188,620165,
5739,620170,
32401,620179,
10824,620181,
32528,620184,0
6021,620187,
32577,620188,
5189,620189,
5208,620191,
8777,620192,
8783,620193,0
2874,620945,
10672,620946,
10682,620947,
10056,620948,
16557,620949,
17041,620950,
17040,620951,
17039,620952,
4189,620953,
28382,620954,
30001,620956,1954E
28562,620957,
11256,620958,
18199,620966,
5928,620967,
4191,620968,
4597,620969,
2921,620970,
11871,620971,
20630,620972,
13991,620973,
22174,620974,
17350,620975,
23407,620980,
30199,620981,
16963,620989,
27717,620990,
27321,620994,
11609,620995,
4603,621007,
11866,621008,0
11606,621009,
27610,621014,
11615,621019,
21012,621020,
16862,621021,
21305,621022,
29523,621023,
28276,621024,
32651,621025,
27436,621036,
28589,621043,
16278,621044,
31600,621046,
31601,621053,
32568,621054,
10823,621055,
28746,621057,
6111,621068,0
32513,621069,
16861,621078,
16863,621079,
18524,621084,
27938,621116,
27322,621120,
18603,621130,
18604,621131,
11138,621136,
11868,621140,
11870,621219,
3380,621232,
11867,621237,
6684,621242,0
32655,621243,
27282,621248,
12975,621258,284D
32718,621261,
11612,621344,
28590,621355,
29747,621357,
32903,621365,
9750,621368,
23694,621369,
14800,621393,2103E
14802,621395,2103E
32865,621406,
6576,621408,
32938,621409,
19741,621410,
32939,621438,0
13255,621477,
17633,621483,
11869,621485,
33059,621498,
18500,621517,
23748,621547,
23747,621554,
33086,621556,
6866,621582,
33155,621588,
18164,621597,168D
33343,621634,
33106,621653,
28939,621654,
33357,621656,
32653,621697,
33367,621700,
33366,621706,136D
6707,621708,
23695,621709,
32652,621718,
33497,621749,278D
33484,621750,234D
33622,621825,4245F
33392,621838,
33436,621876,4038F
17624,621878,1879E
33492,621928,284D
6722,621929,2173E
6959,621933,169D
18850,621938,1566E
33544,621939,4246F
33494,621941,284D
33477,621942,284D
31655,621944,3390F
33535,621952,4250F
33426,621989,148D
33490,621991,284D
33488,621992,284D
33618,622011,301D
24833,622013,2110E
33504,622034,4286F
33595,622055,3969F
33626,622070,295D
33566,622077,4288F
33623,622090,271D
33433,622091,1554E
7536,622118,273D
33004,622122,664E
33589,622124,847E
24473,622125,847E
33559,622136,4288F
27963,622141,4244F
32980,622217,
33438,622223,215D
33429,622224,1554E
33472,622236,295D
33479,622237,276D
33600,622246,3969F
33597,622247,3967F
33505,622253,4285F
24533,622280,1566E
33667,622384,225D
33434,622391,1901E
33387,622392,436E
33257,622396,3271F
30162,622404,1566E
8608,622405,212D
33628,622410,304D
33629,622411,304D
33627,622412,304D
33599,622434,3969F
33540,622437,4242F
23651,622442,4132F
9035,622463,220D
19066,622464,551E
14934,622465,549E
33666,622525,
33665,622526,
33583,622550,1516E
6816,622630,3964F
33579,622633,1502E
33259,622634,3271F
22770,622635,1566E
12682,622637,665E
1990,622638,220D
14620,622639,220D
20058,622640,212D
33604,622692,4389F
33524,622697,4244F
33571,622711,4285F
33601,622725,3967F
33528,622903,4243F
33515,622916,253D
33584,622937,1502E
33570,622963,4499F
33587,622990,1521E
33466,622993,
33669,624559,169D
33532,624573,4244F
33465,624584,
3343,624632,551E
2000,624636,213D
14932,624637,218D
2020,624638,212D
33668,624641,169D
33634,624653,251D
33541,624658,4246F
33679,624962,284D
33586,624963,1521E
33580,624964,1513E
33487,624965,284D
33678,624974,
33633,624982,251D
33632,624983,251D
32509,624995,30D
33471,624996,234D
33553,624997,4289F
14941,625006,220D
33624,625009,295D
20897,625010,284D
6957,625015,169D
33536,625016,4242F
28675,625023,270D
2013,625144,222D
33460,625145,
33581,625146,1502E
33722,626543,
33726,626553,
33717,626556,
27891,626558,
27893,626559,
27892,626560,
1422,626619,26D
33394,626639,
33773,626654,187D
33395,626674,
33747,627357,
33745,627358,
33834,627813,
33853,627814,
32506,627815,
33882,627876,4347F
33681,627896,30D
31764,627901,55D
33684,627903,30D
33682,627904,30D
33683,627917,30D
33680,627919,3442F
33525,627920,4244F
33594,627932,190E
31763,627944,55D
33714,627976,213D
21675,627977,1498E
33585,628004,1502E
33463,628005,
33690,628006,284D
33687,628007,234D
33625,628008,295D
33658,628010,1498E
33713,628019,
33234,628064,3442F
33653,628074,1879E
29822,628075,2033F
33725,628076,284D
33688,628319,234D
33537,628350,4242F
32508,628368,30D
33718,628370,
32045,628614,251D
30424,628615,
33719,628619,
33596,628621,3969F
28906,628660,213D
24259,628712,169D
33721,628715,213D
33733,628716,169D
6474,628733,291D
33620,628734,
33564,628735,4288F
32020,628968,4075F
6533,629070,
26468,629076,220D
13300,629093,
33730,629094,
33232,629147,1429E
33400,629157,301D
33685,629158,1103E
19245,629208,3369F
24358,629209,206D
32007,629267,123D
32006,629268,136D
25834,629269,71E
5605,629270,3442F
26293,629271,3389F
33724,629307,
33686,629308,234D
27648,629350,288D
33732,629384,205D
33582,629385,1502E
33723,629388,351D
33574,629403,4285F
33573,629405,4285F
33776,629443,1897E
33775,629444,1899E
33777,629445,122D
33769,629446,9F
33772,629447,4120F
33771,629448,4120F
33783,629451,614E
33781,629461,1888E
33779,629462,1356E
33780,629463,1356E
33782,629478,432D
33770,629487,9F
33788,629493,2047E
33787,629494,1887E
33538,629495,4242F
33774,629496,1899E
12779,629526,
16137,629562,
33692,629568,205D
19186,629573,435E
32988,629574,933E
33708,629575,304D
33699,629608,4635F
23650,629631,4132F
23653,629632,4132F
23652,629633,4132F
31326,629634,1565E
24357,629635,
27341,629646,3423F
26079,632365,288D
33592,632395,
6962,632506,168D
33707,632507,304D
3683,632520,
33768,632718,
33789,634511,288D
33790,634534,291D
32011,634545,253D
31274,634547,1322E
6977,634607,298D
33706,634611,304D
33348,634636,301D
31807,634834,211E
31802,634835,545F
31803,634836,545F
31808,634837,545F
25577,634848,438E
25576,634849,438E
33742,634850,304D
24192,634855,295D
33716,634869,1891E
33457,634910,
14041,636054,544D
13247,636055,132D
1414,636056,
14197,636057,1564E
1480,636058,1566E
5381,636059,1565E
8539,636060,349D
33987,636063,
27875,636064,
17193,636065,
21141,636066,
32744,636067,
32462,636068,
32979,636069,
17563,636072,
33778,636073,351D
32379,638363,
14326,638364,241D
33851,638365,1303E
33922,638390,
33988,639203,3016F
19800,639327,348D
33750,639338,
33746,639339,
34350,639399,55D
34203,639400,1996E
34084,639402,
33852,639413,
34183,639488,1996E
34406,639489,3421F
34405,639491,
35054,639521,
17799,639596,
34856,639597,
34857,639598,
33821,639998,
33822,639999,
33823,640000,
34362,640001,148D
34425,640002,
34431,640024,3857F
34106,640083,3421F
34107,640084,3423F
34500,640085,3421F
24365,640086,
34365,640917,99D
34321,640939,124D
4297,640941,
34333,640942,
33919,640983,1546E
34518,640985,
33804,641006,3857F
33848,641018,347D
33887,641019,181D
34516,641021,
33854,641038,2012E
33913,641039,553D
33856,641040,2110E
33924,641044,301D
34320,641045,124D
34430,641046,2003E
33857,641098,2110E
33893,641099,4346F
32334,641100,
33801,641101,581D
33920,641102,349D
34361,641103,148D
33755,641104,
33910,641108,1850E
33889,641109,193D
33744,641110,
33754,641111,
32000,641112,
32001,641113,
26462,641114,
33791,641173,2015E
33888,641174,411E
33909,641175,2012E
33912,641176,552D
33916,641177,1850E
32353,641178,1490E
33858,641179,1368E
33859,641180,121D
33929,641181,302D
33979,641182,302D
33824,641183,347D
33847,641184,347D
33885,641185,87D
33886,641186,1340E
34180,641187,9D
34524,641190,
33962,641225,302D
13635,641239,301D
34527,641275,
34659,641283,168D
34522,641285,
30195,641286,
30193,641287,
33757,641288,
34109,641309,
34515,641310,
34514,641311,
34512,641312,
34673,641313,
34149,641331,347D
34519,641338,
32576,641339,
33752,641341,
33899,641345,304D
32459,641353,351D
34513,641354,
33743,641365,
33740,641528,296D
18326,641568,2003E
18327,641569,2003E
12766,641570,55D
29397,641571,2059E
6526,641573,3132F
19153,641574,2123E
31275,641577,1322E
23066,641578,55D
18954,641579,706E
28283,641580,1027E
10465,641581,1026E
5397,641582,2103E
5832,641583,2103E
5428,641584,2110E
28362,641585,2110E
17228,641586,2110E
32078,641587,206D
24261,641605,169D
24521,641606,55D
31397,641607,139E
12777,641608,
12775,641612,
33355,641622,220D
30507,641699,55D
24567,641700,55D
31325,641701,55D
17062,641702,2059E
31398,641703,139E
27553,641704,
27937,641705,301D
22047,641706,2110E
29064,641707,2003E
29504,641708,55D
22905,641709,1027E
32160,641710,
31698,641711,1322E
24512,641712,2059E
30163,641713,1566E
28767,641714,1322E
28770,641715,1322E
27028,641870,55D
19031,641871,2155E
26904,641872,1027E
31396,641873,139E
23317,641874,2158E
28773,641875,1322E
33350,641876,220D
33569,641877,4288F
22084,641878,1834E
12375,641884,3933F
32024,641885,4075F
32023,641886,4075F
15197,641887,1103E
28095,641888,1897E
3312,641889,436E
18180,641890,301D
11299,641905,1520E
10502,641906,1426E
33558,641907,4288F
33729,641908,206D
22007,641909,148E
31913,641912,2003E
7650,641913,2117E
30316,641914,1566E
33799,641915,304D
33811,641924,213D
27446,641925,2015E
13938,641926,1522E
28771,641927,1322E
28459,641928,205E
28461,641929,205E
33802,641931,
33800,641932,
33793,641933,
33849,641934,55D
33694,641935,304D
33989,641936,120D
28096,641937,1897E
10960,641989,276D
25127,641990,1103E
30610,641991,""
33696,641992,304D
33695,641993,304D
32403,642001,
32404,642002,
32405,642003,
32412,642004,
32413,642005,
32414,642006,
32402,642007,
23105,642011,55D
33785,642012,445E
33862,642015,207E
27947,642016,2015E
33890,642019,121D
31675,642046,334D
33918,642068,4347F
30290,642080,
24626,642101,55D
27725,642118,205D
27722,642119,205D
27723,642120,205D
27811,642123,436E
27851,642125,438E
28905,642129,225D
27847,642136,1500E
29993,642137,300D
29562,642140,273D
27764,642147,133D
29622,642148,120D
29598,642149,291D
29592,642150,291D
29588,642151,291D
28153,642233,2003E
28154,642234,2003E
28155,642235,2003E
33997,642249,1898E
29063,642250,2003E
33543,642254,4246F
33539,642255,4242F
1323,642263,1026E
11300,642264,1520E
15302,642266,1547E
16750,642267,1871E
31970,642268,540D
18201,642298,301D
21340,642302,1888E
33365,642303,284D
31595,642311,
30304,642313,
33560,642314,4289F
32046,642315,251D
33866,642319,3931F
22763,642333,1898E
4398,642477,215D
9088,642481,301D
28149,642489,1899E
18196,642513,301D
34017,642966,68E
34018,642967,68E
27765,642969,11F
30895,642970,351D
30894,642971,351D
30893,642972,351D
30892,642973,351D
32277,642974,244D
6945,643012,169D
24869,643041,445E
11154,643042,445E
25613,643043,486E
34016,643044,3390F
34015,643045,3390F
34024,643046,120D
34025,643047,1103E
34014,643077,1898E
34013,643078,1898E
18188,643164,301D
33930,643180,1960E
25582,643202,449E
16919,643218,2551F
34057,644602,551E
21880,644604,1502E
21501,644605,450E
5589,644620,1866E
33196,644642,
34103,644657,4353F
29581,644687,1493E
33767,644688,
33195,644713,187D
20675,644714,347D
22018,644715,552D
34030,645321,1487E
34026,645322,1501E
27262,645323,1481E
17654,645324,1502E
21882,645325,1484E
34099,645327,1418E
23506,645396,271D
21681,645409,1914E
21683,645410,4389F
34027,645421,1502E
34087,645423,1566E
34086,645424,1566E
23586,645436,4078F
33222,645437,295D
33229,645438,295D
33228,645439,296D
33227,645440,295D
33226,645441,295D
33225,645442,295D
33224,645443,295D
33223,645444,295D
34058,645485,
33705,645514,304D
33739,645515,304D
3889,645516,304D
34080,645520,1541E
25946,645695,270D
29595,645743,4090F
34029,645749,2034F
25625,645751,202D
33836,645851,304D
9560,645905,
34081,646103,9F
34082,646104,9F
34076,646236,68E
33843,646330,304D
12135,646457,445E
33689,646526,205D
34079,646558,1541E
21500,646560,450E
33674,646669,
15811,646725,206D
33676,646826,
33677,646827,
33672,646828,
33670,646829,0
34093,646834,5E
33891,646835,238D
33697,646869,
34167,646874,0
34169,646875,
34168,646876,
34166,646877,
34078,646891,4080F
34022,646907,294D
34021,646908,294D
34020,646909,300D
34019,646910,300D
34023,646911,294D
33712,646937,304D
33734,646938,274D
22020,646981,555D
34010,646983,304D
34011,646984,304D
33673,647050,
33671,647063,
33675,647064,
34083,647078,122D
33698,647117,
29619,647127,2104E
29620,647128,2104E
29623,647129,2104E
29618,647130,2104E
27727,647131,2028E
27728,647132,2022E
27732,647133,2015E
27729,647134,2028E
27730,647135,2022E
27733,647136,411E
27719,647137,2028E
27776,647138,553D
27781,647139,2022E
27782,647140,3893F
27788,647141,2022E
27789,647142,2022E
26255,647159,
34043,647160,
27257,647168,4108F
29681,647296,450E
34077,647307,177D
34065,647312,208E
34064,647313,548D
34063,647314,548D
34040,647370,85D
12435,647485,1871E
33197,647623,670F
34037,647865,
33737,647898,304D
34182,647899,1418E
34174,647934,621F
13369,647949,
34092,648069,5E
33795,648075,301D
3743,648296,3880F
34115,648326,1566E
33839,648348,304D
32383,648373,4354F
34094,648387,5E
29307,648390,
29306,648391,
20703,648392,270D
34357,648398,1535E
34241,648400,
34075,649081,3933F
18032,649082,2110E
34085,649083,2003E
34192,649084,251D
15036,649085,488D
34009,649086,304D
21187,649088,2040F
19076,649089,
34402,649090,
34173,649091,185D
34172,649092,185D
19794,649093,288D
34088,649094,288D
34214,649095,295D
34089,649096,270D
34216,649097,298D
34404,649098,
20115,649099,299D
20114,649100,299D
34407,649101,495D
34408,649102,3017F
33764,649103,247D
33765,649104,247D
33763,649105,1498E
33640,649106,288D
33642,649107,300D
33641,649108,291D
33759,649109,4069F
33762,649110,246D
33760,649111,4069F
34104,649112,3882F
33803,649113,304D
33704,649114,304D
34403,649115,
34114,649117,3854F
34113,649118,1103E
34095,649119,9F
34008,649120,304D
34038,649121,295D
33984,649122,445E
34176,649123,3286F
34139,649124,106F
34140,649125,106F
33720,649126,301D
34175,649127,3286F
33985,649132,445E
34449,649133,241D
34189,649141,304D
17988,649179,1493E
34503,649188,185D
34112,649197,13D
34105,649205,359E
27291,649219,1879E
34423,649226,301D
28079,649234,301D
32483,649330,253D
33738,649333,304D
7259,649347,4082F
7595,649348,301D
34111,649351,1103E
34110,649352,1103E
34502,649382,85D
34074,649398,4353F
34452,649400,2032E
34453,649401,2032E
34117,649402,477D
34116,649403,477D
34100,649405,1897E
34150,649427,348D
34152,649428,347D
34151,649429,348D
29596,649494,4075F
34101,649523,1897E
34213,649525,
33797,649527,301D
34098,649688,3938F
34096,649689,3938F
31286,649820,
34108,649844,1835E
16898,649845,2003E
34204,649903,489D
34012,650606,304D
34510,651106,301D
33828,651199,304D
34454,651704,2032E
34128,651917,205D
34539,651919,301D
34134,651934,2003E
34132,651935,1800E
34131,651936,2003E
34129,651937,2003E
30381,651987,307D
34090,652044,9F
34632,652084,416D
34133,652103,1800E
34130,652104,2003E
34328,652113,
34217,652114,
34188,652115,304D
34187,652213,304D
34186,652214,304D
34184,652216,304D
28974,652220,4230F
34258,652221,1900E
34102,652227,1897E
34185,652236,304D
33830,652250,304D
33983,652266,287D
33923,652267,284D
