categorieenseigne;prixproduit;identifiantproduit;ean;disponible
Offres spéciales|Promotions;2.25;76444;;1
Offres spéciales|Promotions;1.59;59481;;1
Offres spéciales|Promotions;1.59;52600;;1
Offres spéciales|Promotions;1.23;66956;;1
Offres spéciales|Promotions;2.25;76445;;1
Offres spéciales|Promotions;2.25;76446;;1
Offres spéciales|Promotions;2.69;35330;;1
Offres spéciales|Promotions;2.69;46703;;1
Offres spéciales|Promotions;1.21;21656;;1
Offres spéciales|Promotions;1.21;21663;;1
Offres spéciales|Promotions;1.21;21662;;1
Offres spéciales|Promotions;1.21;21660;;1
Offres spéciales|Promotions;1.21;21659;;1
Offres spéciales|Promotions;1.21;1733;;1
Offres spéciales|Promotions;3.55;38950;;1
Offres spéciales|Promotions;2.99;1778;;1
Offres spéciales|Promotions;3.99;5898;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;1.99;19408;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;1.68;44885;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;1.75;44884;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;1.61;45455;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;1.88;13360;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;2.65;13359;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;2.78;31157;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;3.13;75359;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;3.1;68930;;0
Accueil|Bio|Epicerie salée Bio|Soupes et potages;3.82;68928;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;2.39;68931;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;3.18;67421;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;3.53;90798;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;2.99;90799;;1
Accueil|Bio|Epicerie salée Bio|Soupes et potages;1.37;92266;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.91;58602;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;3.82;62045;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.83;45290;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.04;45289;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.34;7600;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;3.14;45213;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.88;16492;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.45;68090;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.29;14081;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.23;6037;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;0.92;56571;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;0.78;23229;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.0;31166;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;4.65;16431;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;3.83;7598;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;3.27;6049;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;3.05;12551;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.84;19684;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;3.75;75426;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.45;45220;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.52;45217;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.71;7744;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.75;7769;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.92;7761;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.67;2939;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.18;7762;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.67;7743;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.42;45252;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.06;45291;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.42;45212;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.57;19146;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.83;45157;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.43;45202;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.97;45278;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;3.39;67123;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;3.43;67093;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.64;30949;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.13;45239;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.12;91553;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.93;91554;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;2.38;91556;;1
Accueil|Bio|Epicerie salée Bio|Conserves et plats cuisinés;1.99;91557;;1
Accueil|Bio|Epicerie sucrée Bio;2.94;3376;;1
Accueil|Bio|Epicerie sucrée Bio;2.89;3699;;1
Accueil|Bio|Epicerie sucrée Bio;1.95;34658;;1
Accueil|Bio|Epicerie sucrée Bio;2.99;28216;;1
Accueil|Bio|Epicerie sucrée Bio;1.5;32626;;1
Accueil|Bio|Epicerie sucrée Bio;1.72;42573;;1
Accueil|Bio|Epicerie sucrée Bio;2.31;7578;;1
Accueil|Bio|Epicerie sucrée Bio;1.83;45350;;1
Accueil|Bio|Epicerie sucrée Bio;2.08;45355;;1
Accueil|Bio|Epicerie sucrée Bio;2.62;19112;;1
Accueil|Bio|Epicerie sucrée Bio;1.29;12916;;1
Accueil|Bio|Epicerie sucrée Bio;1.56;25426;;1
Accueil|Bio|Epicerie sucrée Bio;1.63;12917;;1
Accueil|Bio|Epicerie sucrée Bio;2.61;7574;;1
Accueil|Bio|Epicerie sucrée Bio;2.6;7573;;1
Accueil|Bio|Epicerie sucrée Bio;2.25;35025;;1
Accueil|Bio|Epicerie sucrée Bio;2.03;35024;;1
Accueil|Bio|Epicerie sucrée Bio;1.7;35021;;1
Accueil|Bio|Epicerie sucrée Bio;1.74;7575;;1
Accueil|Bio|Epicerie sucrée Bio;2.0;19356;;1
Accueil|Bio|Epicerie sucrée Bio;1.7;7576;;1
Accueil|Bio|Epicerie sucrée Bio;1.7;31043;;1
Accueil|Bio|Epicerie sucrée Bio;2.82;31042;;1
Accueil|Bio|Epicerie sucrée Bio;1.72;19445;;1
Accueil|Bio|Epicerie sucrée Bio;1.82;45233;;1
Accueil|Bio|Epicerie sucrée Bio;2.81;45250;;1
Accueil|Bio|Epicerie sucrée Bio;2.62;66069;;1
Accueil|Bio|Epicerie sucrée Bio;2.37;66360;;1
Accueil|Bio|Epicerie sucrée Bio;2.58;66361;;1
Accueil|Bio|Epicerie sucrée Bio;2.47;45255;;1
Accueil|Bio|Epicerie sucrée Bio;2.71;45254;;1
Accueil|Bio|Epicerie sucrée Bio;2.28;45253;;1
Accueil|Bio|Epicerie sucrée Bio;2.3;65338;;1
Accueil|Bio|Epicerie sucrée Bio;3.15;86670;;1
Accueil|Bio|Epicerie sucrée Bio;2.69;66554;;1
Accueil|Bio|Epicerie sucrée Bio;2.38;19643;;1
Accueil|Bio|Epicerie sucrée Bio;2.68;12585;;1
Accueil|Bio|Epicerie sucrée Bio;2.13;11346;;1
Accueil|Bio|Epicerie sucrée Bio;3.4;14680;;1
Accueil|Bio|Epicerie sucrée Bio;2.36;45266;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;6.71;25732;;1
Accueil|Bio|Epicerie sucrée Bio;2.13;42117;;1
Accueil|Bio|Epicerie sucrée Bio;3.53;45265;;1
Accueil|Bio|Epicerie sucrée Bio;2.52;34174;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;5.32;6067;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;3.35;69227;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;7.39;7626;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;3.05;42131;;1
Accueil|Bio|Epicerie sucrée Bio;2.6;39562;;1
Accueil|Bio|Epicerie sucrée Bio;2.64;19116;;1
Accueil|Bio|Epicerie sucrée Bio;1.47;56547;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;4.62;48856;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;3.38;59249;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;1.31;76221;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;1.75;35032;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;3.25;24162;;1
Accueil|Bio|Epicerie sucrée Bio;1.81;19203;;1
Accueil|Bio|Epicerie sucrée Bio;3.04;72924;;1
Accueil|Bio|Epicerie sucrée Bio;2.68;55277;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;2.65;6039;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;0.67;10788;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;1.03;69004;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;1.61;23192;;1
Accueil|Bio|Epicerie salée Bio|Condiments et sauces;2.3;6063;;1
Accueil|Bio|Epicerie salée Bio|Pates, riz et féculents;0.79;33893;;1
Accueil|Bio|Epicerie sucrée Bio;1.67;16153;;1
